id;start_date;end_date;language
1;2020-05-28T11:39:14;2020-05-28T09:29:29;SPANISH
2;2020-05-27T16:29:25;2020-05-28T11:33:50;SPANISH
3;2020-05-28T07:24:44;2020-05-27T17:58:53;FRENCH
4;2020-05-27T22:42:15;2020-05-28T10:13:41;FRENCH
5;2020-05-28T08:12:33;2020-05-28T12:59:32;FRENCH
6;2020-05-28T02:04:54;2020-05-28T14:13:08;FRENCH
7;2020-05-28T03:50:14;2020-05-27T21:41:05;FRENCH
8;2020-05-28T02:46:27;2020-05-28T13:02:35;SPANISH
9;2020-05-28T01:27:36;2020-05-27T22:08:59;SPANISH
10;2020-05-28T09:39:40;2020-05-27T20:14:10;SPANISH
